Feature,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,day -1,day 0,day 1,day 2,day 3,sigma
Q1,1.1417,42.5065,30.7008,30.7008,31.2679,26.3775,0.2657,2.7117,33.1894,34.1583,34.1583,7.0086,13.2887,4.1458,0.015954276,-0.034970963,0.001971,-0.006458183,-0.015285105,0.017063515
Q2,1.163,39.7778,30.0918,30.0918,30.1322,25.8034,0.3148,1.901,47.3425,43.4208,43.4208,8.1216,17.3741,3.9365,-0.027639069,-0.026803873,-0.015431732,0.014695201,0.000220994,0.016324307
Q3,1.3636,38.1604,22.8369,22.8369,23.0316,19.5879,0.1998,1.7278,52.0889,19.3958,19.3958,3.9128,7.7272,3.8487,-0.011726449,-0.017714021,0.00502815,0.040041056,0.03283502,0.023187307
Q4,1.4695,37.9995,21.9335,21.9335,22.0106,18.854,0.1881,1.8608,48.3664,15.5682,15.5682,3.546,6.7655,4.2182,0.088324404,0.050369458,0.008581399,0.002242486,0.009350188,0.033035053
Q5,1.496,38.3619,22.0414,22.0414,22.525,19.2907,0.182,1.9009,47.3467,14.3436,14.3436,3.5109,6.7154,4.5343,-0.012877398,0.010149242,0.02016392,0.018135888,0.009144013,0.011730673
Q6,1.5978,38.3548,27.8472,27.8472,28.2273,24.2172,0.2696,2.2986,39.1546,24.8361,24.8361,6.5281,12.1768,5.1044,0.037207041,-0.012124378,0.001215908,-0.053208991,0.035542257,0.033503403
Q7,1.5401,37.9653,24.3988,24.3988,25.1827,21.371,0.1892,1.3981,64.3716,15.1247,15.1247,4.0429,7.5076,5.0913,0.010081431,0.009259649,0.03074006,-0.001088685,-0.001089871,0.011625568
Q8,1.5046,37.5904,21.4537,21.4537,22.1357,18.666,0.167,2.0325,44.28,10.413,10.413,3.1169,5.5372,5.3215,0.036035715,-0.011712368,-0.039916585,-0.037375451,-0.008521522,0.027358427
Q9,1.3154,37.6127,23.1233,23.1233,23.7749,19.9276,0.1696,2.2077,40.7657,10.921,10.921,3.3804,5.8966,5.7442,0.033034472,-0.000190644,0.00499135,-0.031796147,0.007752978,0.020732998
Q10,1.3006,37.9919,27.6907,27.6907,28.3549,23.6805,0.2256,2.2798,39.4768,16.935,16.935,5.3422,9.4674,6.2313,0.04382548,0.017367455,0.00510408,0.002691612,0.032036107,0.015752526
Q11,1.1329,38.2894,25.6248,25.6248,26.1065,22.4563,0.172,1.2838,70.1041,13.1828,13.1828,3.8622,7.0315,5.6334,-0.025372872,-0.011717946,0.019858963,0.019281735,-0.02132294,0.019634837
Q12,1.3073,38.3385,23.6778,23.6778,24.9395,21.6258,0.1525,2.0201,44.5514,10.021,10.021,3.2987,5.4315,5.9339,0.045356112,0.007255276,0.031650526,0.004674375,0.006326137,0.016483055
Q13,1.456,38.3107,25.9974,25.9974,26.4455,22.6082,0.1664,2.7284,32.9869,10.8939,10.8939,3.7611,6.0559,6.4167,0.051644728,0.0037026,0.013385087,0.038141226,-0.001026486,0.020372189
Q14,1.242,38.4085,29.7577,29.7577,30.614,22.7255,0.217,1.7347,51.8831,14.3118,15.1822,4.9325,8.2193,6.8973,-0.007023459,-0.042454815,-0.027205221,0.051974421,-0.01731754,0.032372379
Q15,1.2761,37.9068,24.9529,24.9529,26.4687,20.377,0.1401,1.4739,61.0618,7.9927,7.9927,2.8546,4.633,6.5373,0.043459533,-0.009411998,0.008894644,0.004303303,0.002573103,0.017805574
Q16,1.3883,38.513,23.7139,23.7139,24.9031,19.1971,0.1316,2.0064,44.8573,6.5826,7.0117,2.5254,3.9215,6.4038,0.066046389,-0.014099407,-0.006259574,0.006323211,0.009757465,0.028185929
Q17,1.3906,38.9273,26.6504,26.6504,27.7601,20.8504,0.1581,2.5663,35.0703,8.2256,8.7537,3.2968,5.045,6.439,-0.013304853,0.00636754,0.001636595,0.015349058,0.031960439,0.014995725
Q18,1.2282,38.5139,29.8133,29.8133,30.8611,22.8344,0.2366,2.8006,32.1365,13.5139,14.4144,5.4028,8.6872,6.2978,0.04739381,0.007450759,0.002575164,0.006370495,0.010859955,0.016445731
Q19,1.3527,38.0197,25.1025,25.1025,26.0138,19.2393,0.1456,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,-0.031346745,0.009403655,-0.013260219,-0.001933907,-0.00167322,0.013799784
Q20,1.3116,38.0235,23.8562,23.8562,24.7155,18.405,0.1386,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.074130075,-0.0139065,0.013139022,0.002109313,0.015585218,0.029834077
Q21,1.2831,39.4031,27.6658,27.6658,27.9724,20.8003,0.1656,2.5503,35.2901,8.0609,8.6648,3.4447,5.2624,5.9532,-0.079176984,0.016631762,-0.037791583,-0.000212776,0.002444554,0.034799184
Q22,1.0017,40.0978,31.8576,31.8576,32.3874,24.2,0.2587,3.0816,29.2056,14.3147,15.4112,6.2605,10.1179,5.7835,-0.039705163,-0.023706531,0.010605678,0.017568164,-0.010943911,0.02122658
Q23,1.1088,39.8983,28.3936,28.3936,29.246,21.5996,0.1774,1.6973,53.0256,9.3201,10.081,3.8313,6.4418,5.3486,0.0131711,0.015023808,0.019108604,-0.001571569,-8.28E-05,0.00836707
Q24,1.0868,39.6754,28.3903,28.3903,29.1765,21.524,0.1816,2.4918,36.1179,8.4956,9.137,3.9088,6.1683,5.5069,-0.085281661,0.033928869,-0.006997462,-0.017954698,0.002353236,0.039261258
Q25,1.156,40.7792,31.5084,31.5084,32.0014,23.3908,0.2221,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,5.597,0.016119171,-0.032502316,-0.01174669,-0.01994257,0.02660565,0.022215379
Q26,1.133,39.8678,32.5018,32.5018,32.7297,24.1612,0.2848,2.4886,36.1646,14.6147,15.765,6.8822,11.5663,5.2918,0.04530224,-0.01119907,0.017723724,-0.002960446,0.003804671,0.019800166
Q27,1.0801,38.0054,26.5057,26.5057,27.2345,20.1007,0.1817,1.5476,58.1561,7.5905,8.2373,3.6521,6.0249,4.7538,-0.003142428,0.005231908,0.011789809,0.002902465,0.009768911,0.005274764
Q28,1.4706,39.3647,27.4685,27.4685,28.0081,20.6989,0.1682,2.2227,40.4918,6.4065,6.7492,3.4819,5.1664,5.0483,0.007785393,0.016835093,-0.0019599,0.009965678,0.015318607,0.006664927
Q29,1.6326,39.3178,29.7792,29.7792,30.2721,22.3963,0.2216,2.8853,31.1922,8.5065,8.9522,4.9629,7.4544,4.9807,0.071389223,-0.006497597,0.014543164,0.035904849,-0.001854379,0.028520027
Q30,1.4943,37.931,30.3209,30.3209,30.748,22.6968,0.2558,2.2857,39.376,10.0799,10.5797,5.805,8.914,5.1897,-0.078069146,-0.009499316,-0.002801856,-0.014753923,0.014893235,0.031635546
